Thana Name,District,Location,Crime Type,Date,Time
Shalamar Town,Lahore,"31.578844745020977,74.32498519042878",miscellaneous,01/01/15,2:00:00
Shalamar Town,Lahore,"31.578203571713168,74.32436678510557",miscellaneous,01/01/15,1:10:00
Shalamar Town,Lahore,"31.577664602460324,74.32411712986408",miscellaneous,01/01/15,1:20:00
Shalamar Town,Lahore,"31.579315462759666,74.32547540956529",miscellaneous,01/01/15,15:00:00
Shalamar Town,Lahore,"31.58041807669654,74.32581210029136",attackongovtservant,01/01/15,15:25:00
Shalamar Town,Lahore,"31.57964452748212,74.32285979508005",gambling,02/01/15,18:30:00
Shalamar Town,Lahore,"31.578817433041106,74.32495455379438",miscellaneous,02/01/15,17:25:00
Shalamar Town,Lahore,"31.57874353534243,74.32488736756105",miscellaneous,03/01/15,22:20:00
Shalamar Town,Lahore,"31.579049128457772,74.32518059278986",loudspeakeract,06/01/15,14:00:00
Shalamar Town,Lahore,"31.579002701466333,74.32526724530396",loudspeakeract,06/01/15,14:20:00
Shalamar Town,Lahore,"31.579146060557665,74.32529811128437",loudspeakeract,06/01/15,16:15:00
Shalamar Town,Lahore,"31.579083997240023,74.3251911414132",loudspeakeract,06/01/15,18:00:00
Shalamar Town,Lahore,"31.578974578602736,74.32513272230372",loudspeakeract,06/01/15,18:20:00
Shalamar Town,Lahore,"31.579083447007115,74.32516742029655",miscellaneous,06/01/15,21:50:00
Shalamar Town,Lahore,"31.580305558964596,74.32577547001902",miscellaneous,08/01/15,20:00:00
Shalamar Town,Lahore,"31.58064443199212,74.32593462689265",loudspeakeract,09/01/15,19:15:00
Shalamar Town,Lahore,"31.579171632911606,74.32525861502825",armsordinanceact,10/01/15,16:00:00
Shalamar Town,Lahore,"31.580788992820406,74.32304125927269",miscellaneous,11/01/15,15:50:00
Shalamar Town,Lahore,"31.579089428809535,74.32288104195413",loudspeakeract,11/01/15,17:20:00
Shalamar Town,Lahore,"31.57651051712792,74.32290874746309",gambling,14/01/15,9:15:00
Shalamar Town,Lahore,"31.58183764187937,74.32716989797838",othercrimes,11/01/15,20:30:00
Shalamar Town,Lahore,"31.57895600324295,74.32515403773043",loudspeakeract,15/01/15,22:15:00
Shalamar Town,Lahore,"31.583180547399905,74.32429129849247",miscellaneous,14/01/15,20:30:00
Shalamar Town,Lahore,"31.581509438699545,74.31863713976585",loudspeakeract,16/01/15,15:00:00
Shalamar Town,Lahore,"31.57649202106713,74.32288420086157",attemptedmurder,17/01/15,0:05:00
Iqbal Town,Lahore,"31.5252938306726,74.28404670114642",miscellaneous,01/01/15,2:30:00
Iqbal Town,Lahore,"31.523256855077257,74.29338130535157",motorcyclesnatching,01/01/15,17:30:00
Iqbal Town,Lahore,"31.521999115380137,74.3002960825184",motorcycletheft,02/01/15,18:55:00
Iqbal Town,Lahore,"31.511591770766522,74.28033260340757",bulgery,04/01/15,21:00:00
Iqbal Town,Lahore,"31.506929020467982,74.28931982749403",miscellaneous,03/01/15,5:30:00
Iqbal Town,Lahore,"31.518108998168596,74.29379884574524",robbery,03/01/15,10:25:00
Iqbal Town,Lahore,"31.52492134381411,74.29318553091642",motorcyclesnatching,07/01/15,10:00:00
Iqbal Town,Lahore,"31.520990016090323,74.28515286432207",othercrimes,03/01/15,11:15:00
Iqbal Town,Lahore,"31.517187555360596,74.29342769526306",othercrimes,06/01/15,12:00:00
Iqbal Town,Lahore,"31.521243026265754,74.28214402984914",loudspeakeract,09/01/15,13:55:00
Iqbal Town,Lahore,"31.52091684107654,74.28070334908654",loudspeakeract,09/01/15,13:40:00
Iqbal Town,Lahore,"31.515886194345388,74.27989914341036",miscellaneous,09/01/15,14:00:00
Iqbal Town,Lahore,"31.51698646663878,74.28173197429905",ppc,08/01/15,19:00:00
Iqbal Town,Lahore,"31.507405736117075,74.29211918776485",pricecontrol,08/01/15,12:00:00
Iqbal Town,Lahore,"31.515393528376514,74.27685322443111",bulgery,01/01/15,0:00:00
Iqbal Town,Lahore,"31.506605286613407,74.29377633546008",othercrimes,11/01/15,20:30:00
Iqbal Town,Lahore,"31.52059401986551,74.28671684686329",robbery,10/01/15,18:30:00
Iqbal Town,Lahore,"31.521446152289254,74.289964621067",loudspeakeract,11/01/15,11:50:00
Iqbal Town,Lahore,"31.514298564936116,74.29684928774307",ppc,11/01/15,20:00:00
Iqbal Town,Lahore,"31.523936687173755,74.29675396295784",robbery,10/01/15,19:00:00
Iqbal Town,Lahore,"31.52175989009904,74.30029074292287",othercrimes,01/01/15,21:15:00
Iqbal Town,Lahore,"31.524508149629433,74.28835013601528",miscellaneous,14/01/15,13:20:00
Iqbal Town,Lahore,"31.52507791954129,74.28893690833588",robbery,13/01/15,14:30:00
Iqbal Town,Lahore,"31.517961137184333,74.2934313416375",motorcycletheft,09/01/15,20:30:00
Iqbal Town,Lahore,"31.512453084511108,74.29961515068497",attackongovtservant,15/01/15,21:45:00
Iqbal Town,Lahore,"31.514976171420003,74.28118783649921",othercrimes,12/01/15,17:35:00
Iqbal Town,Lahore,"31.521861826281317,74.28485368832459",robbery,14/01/15,15:00:00
Iqbal Town,Lahore,"31.52026047293195,74.28873189703427",ppc,15/01/15,21:15:00
Iqbal Town,Lahore,"31.519925048219335,74.28761992756824",othercrimes,12/01/15,13:45:00
Shalamar Town,Lahore,"31.601569069931262,74.33182239418761",overspeeding,01/01/15,0:25:00
Shalamar Town,Lahore,"31.60044066767309,74.32154147114385",overspeeding,02/01/15,15:55:00
Shalamar Town,Lahore,"31.60344966233852,74.31917311738367",narcotics,02/01/15,22:15:00
Shalamar Town,Lahore,"31.602202090920485,74.31310077289056",narcotics,04/01/15,13:20:00
Shalamar Town,Lahore,"31.609262423179747,74.32382867459137",miscellaneous,05/01/15,21:55:00
Shalamar Town,Lahore,"31.609244805590947,74.32380034635298",armsordinanceact,05/01/15,22:15:00
Shalamar Town,Lahore,"31.60152818525698,74.33201933902868",narcotics,05/01/15,18:45:00
Shalamar Town,Lahore,"31.599865811644154,74.32692923641754",narcotics,07/01/15,20:50:00
Shalamar Town,Lahore,"31.601181449064224,74.33206199911317",narcotics,07/01/15,23:40:00
Shalamar Town,Lahore,"31.599627388038662,74.31766042686408",antinorcoticsact,07/01/15,20:20:00
Shalamar Town,Lahore,"31.598118125445648,74.32250108522442",loudspeakeract,09/01/15,14:30:00
Shalamar Town,Lahore,"31.59740143116309,74.31905316451552",loudspeakeract,09/01/15,15:00:00
Shalamar Town,Lahore,"31.599232817455555,74.32066819251575",loudspeakeract,09/01/15,14:50:00
Shalamar Town,Lahore,"31.60025875176234,74.32082620299386",loudspeakeract,09/01/15,15:05:00
Shalamar Town,Lahore,"31.60220451457038,74.3255430948422",loudspeakeract,09/01/15,14:50:00
Shalamar Town,Lahore,"31.603476953904014,74.3254290463093",loudspeakeract,09/01/15,14:55:00
Shalamar Town,Lahore,"31.608535507855027,74.32881734238089",loudspeakeract,09/01/15,14:55:00
Shalamar Town,Lahore,"31.603727264552234,74.33111898441172",loudspeakeract,09/01/15,14:55:00
Shalamar Town,Lahore,"31.60070122910044,74.32735847030604",antinorcoticsact,10/01/15,9:50:00
Shalamar Town,Lahore,"31.60184646970284,74.32356118721317",loudspeakeract,09/01/15,14:56:00
Shalamar Town,Lahore,"31.60290924501973,74.32235684560904",loudspeakeract,09/01/15,14:35:00
Shalamar Town,Lahore,"31.603429170045573,74.31901669114333",antinorcoticsact,09/01/15,23:55:00
Shalamar Town,Lahore,"31.60349729041777,74.31784845033683",loudspeakeract,09/01/15,14:55:00
Shalamar Town,Lahore,"31.60015451069851,74.3225899408553",loudspeakeract,09/01/15,14:50:00
Shalamar Town,Lahore,"31.603921740644537,74.31235122645973",loudspeakeract,11/01/15,15:45:00
Shalamar Town,Lahore,"31.60366785427561,74.31881384524462",miscellaneous,10/01/15,19:30:00
Shalamar Town,Lahore,"31.601578188702344,74.32455425261567",miscellaneous,11/01/15,1:30:00
Shalamar Town,Lahore,"31.598700303203405,74.32514068477515",miscellaneous,10/01/15,16:00:00
Shalamar Town,Lahore,"31.596673869020425,74.32521307304746",othercrimes,11/01/15,21:00:00
Shalamar Town,Lahore,"31.610169233714732,74.32842606532229",othercrimes,12/01/15,21:00:00
Shalamar Town,Lahore,"31.599007236398986,74.32690593809285",motorcycletheft,12/01/15,11:00:00
Shalamar Town,Lahore,"31.59903964650184,74.32690733417421",armsordinanceact,13/01/15,20:20:00
Shalamar Town,Lahore,"31.60917657013264,74.32878542153298",motorcycletheft,11/01/15,15:30:00
Shalamar Town,Lahore,"31.609168211752365,74.3276550798131",illegalextortion,13/01/15,19:00:00
Shalamar Town,Lahore,"31.60063040529666,74.31690154032313",motorcycletheft,13/01/15,21:00:00
Shalamar Town,Lahore,"31.602643858500297,74.31986910702793",motorcycletheft,14/01/15,23:15:00
Shalamar Town,Lahore,"31.602421447884396,74.32245970310467",antinorcoticsact,15/01/15,23:55:00
Shalamar Town,Lahore,"31.599596804281347,74.31779032065775",telephoneact,16/01/15,13:00:00
Shalamar Town,Lahore,"31.60509387181064,74.32600801472944",loudspeakeract,16/01/15,13:05:00
Shalamar Town,Lahore,"31.600196352355606,74.32597726938857",loudspeakeract,16/01/15,13:25:00
Shalamar Town,Lahore,"31.603189641601357,74.31628641868234",motorcycletheft,16/01/15,23:50:00
Shalamar Town,Lahore,"31.603456635137455,74.31908369805356",armsordinanceact,18/01/15,20:40:00
Wagha Town,Lahore,"31.58484338217055,74.38545718227489",pricecontrol,01/01/15,13:30:00
Wagha Town,Lahore,"31.595549179948875,74.40704493556083",robbery,01/01/15,2:30:00
Wagha Town,Lahore,"31.603522915793327,74.39947512490562",narcotics,01/01/15,23:50:00
Wagha Town,Lahore,"31.6035138473609,74.3994199426013",armsordinanceact,02/01/15,0:05:00
Wagha Town,Lahore,"31.585324189290805,74.38630404583351",pricecontrol,02/01/15,15:30:00
Wagha Town,Lahore,"31.586217314658555,74.38627643181864",pricecontrol,02/01/15,15:45:00
Wagha Town,Lahore,"31.581897840128086,74.38448785321113",pricecontrol,03/01/15,12:30:00
Wagha Town,Lahore,"31.591920028575487,74.38145550079463",robbery,03/01/15,14:45:00
Wagha Town,Lahore,"31.5850032144536,74.38644759731618",pricecontrol,03/01/15,13:30:00
Wagha Town,Lahore,"31.582500260469125,74.39472228032469",pricecontrol,03/01/15,12:30:00
Wagha Town,Lahore,"31.582475733001814,74.39471421582988",othercrimes,02/01/15,13:50:00
Wagha Town,Lahore,"31.582623348649793,74.39548694196932",miscellaneous,04/01/15,14:00:00
Wagha Town,Lahore,"31.59294754839142,74.39254385207161",gambling,04/01/15,20:00:00
Wagha Town,Lahore,"31.596656551851275,74.3988249076699",miscellaneous,04/01/15,23:50:00
Wagha Town,Lahore,"31.5966633982615,74.39885701334426",armsordinanceact,05/01/15,0:05:00
Wagha Town,Lahore,"31.603429306618757,74.39945621851099",armsordinanceact,03/01/15,17:10:00
Wagha Town,Lahore,"31.60349430817018,74.39944490768139",armsordinanceact,03/01/15,17:30:00
Wagha Town,Lahore,"31.5842932120449,74.40776737653096",bulgery,02/01/15,2:00:00
