Towns name,01-10yrs.,11-20yrs.,21-30yrs.,31-40yrs.,41-50yrs,51-60yrs.,61-70yrs.,71-80yrs.,81-90yrs.,91-100yrs.,Unknown,Total
Allama Iqbal Town,68,186,310,222,186,150,82,21,7,-,111,1343
Aziz bhatti Town,32,83,148,88,72,38,14,8,-,-,33,516
Data Gung Bakhsh,126,380,518,342,219,130,56,28,4,-,266,2069
Gulberg Town,67,216,330,213,183,150,94,45,7,1,195,1501
Nishtar Town,102,142,212,168,97,60,33,8,4,1,280,1107
Ravi Town,117,178,238,125,89,52,33,6,4,-,142,984
Samanabad Town,75,221,325,215,176,124,68,18,1,1,114,1338
Shalimar Town,74,159,189,127,93,57,30,15,3,-,76,823
Wahga Town,18,31,46,28,17,11,7,1,1,-,16,176
Cantt,92,196,296,206,186,149,87,39,12,3,160,1426
Total no.,771,1792,2612,1734,1318,921,504,189,43,6,1393,11283
Prevelance(%),6.83328,15.8823,23.14987,15.36825,11.6812,8.162722,4.466897,1.675086,0.381104,0.053177,12.346,
